video_path,video_id,label,num_frames
DFD_original_sequences/06__walk_down_hall_angry,06__walk_down_hall_angry,0,15
DFD_original_sequences/21__talking_against_wall,21__talking_against_wall,0,15
DFD_original_sequences/21__outside_talking_pan_laughing,21__outside_talking_pan_laughing,0,15
DFD_original_sequences/15__podium_speech_happy,15__podium_speech_happy,0,15
DFD_original_sequences/07__exit_phone_room,07__exit_phone_room,0,15
DFD_original_sequences/07__walking_down_street_outside_angry,07__walking_down_street_outside_angry,0,15
DFD_original_sequences/25__exit_phone_room,25__exit_phone_room,0,15
DFD_original_sequences/08__kitchen_still,08__kitchen_still,0,15
DFD_original_sequences/17__walking_down_street_outside_angry,17__walking_down_street_outside_angry,0,15
DFD_original_sequences/13__secret_conversation,13__secret_conversation,0,15
DFD_original_sequences/07__podium_speech_happy,07__podium_speech_happy,0,15
DFD_original_sequences/16__exit_phone_room,16__exit_phone_room,0,15
DFD_original_sequences/27__kitchen_still,27__kitchen_still,0,15
DFD_original_sequences/08__walking_down_street_outside_angry,08__walking_down_street_outside_angry,0,15
DFD_original_sequences/18__talking_against_wall,18__talking_against_wall,0,15
DFD_original_sequences/13__outside_talking_pan_laughing,13__outside_talking_pan_laughing,0,15
DFD_original_sequences/18__secret_conversation,18__secret_conversation,0,15
DFD_original_sequences/04__talking_against_wall,04__talking_against_wall,0,15
DFD_original_sequences/23__talking_against_wall,23__talking_against_wall,0,15
DFD_original_sequences/16__walk_down_hall_angry,16__walk_down_hall_angry,0,15
DFD_original_sequences/22__outside_talking_still_laughing,22__outside_talking_still_laughing,0,15
DFD_original_sequences/05__outside_talking_still_laughing,05__outside_talking_still_laughing,0,15
DFD_original_sequences/19__secret_conversation,19__secret_conversation,0,15
DFD_original_sequences/15__kitchen_pan,15__kitchen_pan,0,15
DFD_original_sequences/19__talking_against_wall,19__talking_against_wall,0,15
DFD_original_sequences/08__kitchen_pan,08__kitchen_pan,0,15
DFD_original_sequences/26__secret_conversation,26__secret_conversation,0,15
DFD_original_sequences/23__outside_talking_pan_laughing,23__outside_talking_pan_laughing,0,15
DFD_original_sequences/18__exit_phone_room,18__exit_phone_room,0,15
DFD_original_sequences/12__outside_talking_pan_laughing,12__outside_talking_pan_laughing,0,15
DFD_original_sequences/17__exit_phone_room,17__exit_phone_room,0,15
DFD_original_sequences/03__kitchen_pan,03__kitchen_pan,0,15
DFD_original_sequences/24__walking_outside_cafe_disgusted,24__walking_outside_cafe_disgusted,0,15
DFD_original_sequences/13__kitchen_pan,13__kitchen_pan,0,15
DFD_original_sequences/17__outside_talking_pan_laughing,17__outside_talking_pan_laughing,0,15
DFD_original_sequences/08__walk_down_hall_angry,08__walk_down_hall_angry,0,15
DFD_original_sequences/28__exit_phone_room,28__exit_phone_room,0,15
DFD_original_sequences/02__talking_angry_couch,02__talking_angry_couch,0,15
DFD_original_sequences/04__podium_speech_happy,04__podium_speech_happy,0,15
DFD_original_sequences/20__exit_phone_room,20__exit_phone_room,0,15
DFD_original_sequences/21__outside_talking_still_laughing,21__outside_talking_still_laughing,0,15
DFD_original_sequences/16__outside_talking_pan_laughing,16__outside_talking_pan_laughing,0,15
